csv,csv_Cn,log,log_Cn,other,other_Cn,ps,ps_Cn,sql,sql_Cn,txt,txt_Cn,zip,zip_Cn,zz_level,zz_time,zz_today,path
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,06:33:56,2016-07-16,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,06:33:56,2016-07-16,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,06:41:17,2016-07-16,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,06:41:17,2016-07-16,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,06:43:08,2016-07-16,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,06:43:08,2016-07-16,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,06:45:46,2016-07-16,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,06:45:46,2016-07-16,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,06:46:13,2016-07-16,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,06:46:13,2016-07-16,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,06:47:23,2016-07-16,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,06:47:23,2016-07-16,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,06:48:09,2016-07-16,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,06:48:09,2016-07-16,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,06:50:02,2016-07-16,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,06:50:02,2016-07-16,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,06:50:54,2016-07-16,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,06:50:54,2016-07-16,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,06:53:09,2016-07-16,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,06:53:09,2016-07-16,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,06:54:55,2016-07-16,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,06:54:55,2016-07-16,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,06:56:11,2016-07-16,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,06:56:11,2016-07-16,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,06:56:25,2016-07-16,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,06:56:25,2016-07-16,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,06:57:35,2016-07-16,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,06:57:35,2016-07-16,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,06:59:08,2016-07-16,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,06:59:08,2016-07-16,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,06:59:42,2016-07-16,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,06:59:42,2016-07-16,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,07:01:19,2016-07-16,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,07:01:19,2016-07-16,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,07:02:21,2016-07-16,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,07:02:21,2016-07-16,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,07:03:31,2016-07-16,/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,07:03:31,2016-07-16,/testdirs\subDirFoo
