csv,csv_Cn,js,js_Cn,log,log_Cn,other,other_Cn,ps,ps_Cn,sql,sql_Cn,txt,txt_Cn,zip,zip_Cn,zz_level,zz_time,zz_today,path
0,0,3325264,426,1687,1,2577806,469,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\CS_330_FULL_MEAN\BeltExamMEAN_doctor-s-appointment
0,0,3325100,426,1687,1,2447396,465,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\CS_330_FULL_MEAN\BeltExamMEAN_Survey
0,0,5373353,657,1687,1,3651282,839,0,0,0,0,7688,7,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\CS_330_FULL_MEAN\ExamReview_DiscussionBoard
0,0,3909980,428,1687,1,3419252,461,0,0,0,0,0,0,459665,1,2,21:15:02,2016-07-15,C:\work\Dojo\CS_330_FULL_MEAN\First_mean
0,0,3913375,433,1687,1,3423316,462,0,0,0,0,0,0,459665,1,2,21:15:02,2016-07-15,C:\work\Dojo\CS_330_FULL_MEAN\FullMean_Friends
0,0,3910752,430,1687,1,3422557,462,0,0,0,0,0,0,459665,1,2,21:15:02,2016-07-15,C:\work\Dojo\CS_330_FULL_MEAN\FullMean_Friends-vrtionStsh
0,0,9471017,1488,1687,1,15378412,5734,0,0,0,0,19978,26,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\CS_330_FULL_MEAN\miniMeanStore
0,0,3834395,465,1687,1,2673749,480,0,0,0,0,11615,3,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\CS_330_FULL_MEAN\Mini_MEAN_Store
0,0,3929180,438,1687,1,3464802,470,0,0,0,0,300,1,459665,1,2,21:15:02,2016-07-15,C:\work\Dojo\CS_330_FULL_MEAN\Orders_n_Customers
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\Downlodes\miniMeanStore
0,0,0,0,0,0,35603,8,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\jquery\asmt1_ jQueryFun
0,0,2300929,28,0,0,1080371,36,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\jquery\asmt2_disappearing-ninjas
0,0,0,0,0,0,302233,8,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\jquery\asmt3_Ninja-to-Cat
0,0,0,0,0,0,3456,2,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\jquery\asmt_adv_1_Addin-a-User
0,0,0,0,0,0,2182,1,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\jquery\asmt_adv_2_ColorClicker
0,0,0,0,0,0,316673,6,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\jquery\asmt_adv_3_jSortableNinja
0,0,163836,13,0,0,1051124,43,0,0,0,0,0,0,839172,4,2,21:15:02,2016-07-15,C:\work\Dojo\jquery\jquery_tools
0,0,0,0,0,0,547,1,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\jquery\stuff
0,0,0,0,0,0,0,0,0,0,273648,3,0,0,92048,1,2,21:15:02,2016-07-15,C:\work\Dojo\mysql\Countries
0,0,0,0,0,0,0,0,0,0,3546,2,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\mysql\Friendships
0,0,0,0,0,0,0,0,0,0,41265,2,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\mysql\lead-gen-business
0,0,0,0,0,0,455048,1,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\mysql\MVC-advanced-assignment
0,0,0,0,0,0,0,0,0,0,7981,1,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\mysql\mysqldbdumps
0,0,0,0,0,0,262820,1,0,0,3367828,2,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\mysql\sakila
0,0,0,0,0,0,483013,3,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\mysql\User_Dashboard
0,0,2311,4,0,0,8307,5,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\New folder\fs
0,0,205850,7,0,0,7326,3,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\Refs-notes\Extra Goodies _ CSS & CSS3 _ CS 100 - Web Fundamentals _ Coding Dojo Courses_files
0,0,2300929,28,0,0,703061,30,0,0,0,0,0,0,0,0,2,21:15:02,2016-07-15,C:\work\Dojo\Refs-notes\Paletton - The Color Scheme Designer J&T1_files
